dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE84437	GSM2235862	Y3480T	MSI	0.175732	MSS/TP53+	0.049983	0.125749	medium	0.995179	-0.0993109	0.175732	-0.0952273	0.049983	15335
GSE84437	GSM2235863	Y3482T	EMT	0.242443	MSS/TP53-	-0.0695678	0.312011	high	0.98956	0.242443	-0.184084	-0.0695678	-0.109456	15335
GSE84437	GSM2235864	Y3484T	MSS/TP53+	0.143646	MSS/TP53-	0.11783	0.0258162	low	0.996017	-0.0932783	-0.063072	0.11783	0.143646	15335
GSE84437	GSM2235865	Y3485T	MSS/TP53-	0.236401	MSS/TP53+	0.13085	0.105552	medium	0.989092	-0.253763	0.0468643	0.236401	0.13085	15335
GSE84437	GSM2235866	Y3489T	MSI	0.0585803	EMT	0.0521822	0.00639805	low	0.997986	0.0521822	0.0585803	-0.128816	-0.0291478	15335
GSE84437	GSM2235867	Y3491T	MSI	0.227442	MSS/TP53+	0.0158785	0.211563	high	0.990628	-0.0400821	0.227442	-0.223031	0.0158785	15335
GSE84437	GSM2235878	Y3496T	MSS/TP53-	0.211808	MSS/TP53+	0.112124	0.0996834	medium	0.992885	-0.154675	-0.0464066	0.211808	0.112124	15335
GSE84437	GSM2235879	Y3501T	EMT	0.11675	MSI	0.0661169	0.0506327	low	0.994576	0.11675	0.0661169	-0.151503	-0.151408	15335
GSE84437	GSM2235880	Y3515T	MSS/TP53+	0.161833	EMT	-0.0211869	0.18302	medium	0.997304	-0.0211869	-0.0309723	-0.0415631	0.161833	15335
GSE84437	GSM2235881	Y3516T	MSS/TP53+	0.236713	MSS/TP53-	0.12678	0.109933	medium	0.991008	-0.200923	0.0116145	0.12678	0.236713	15335
GSE84437	GSM2235882	Y3532T	MSS/TP53+	0.140725	EMT	0.0386863	0.102039	medium	0.9968	0.0386863	-0.122686	-0.00737227	0.140725	15335
GSE84437	GSM2235883	Y3533T	EMT	0.113168	MSS/TP53+	0.0178894	0.095279	medium	0.997543	0.113168	-0.0983587	-0.0647056	0.0178894	15335
GSE84437	GSM2235884	Y3544T	EMT	0.364711	MSS/TP53+	-0.0317134	0.396424	high	0.975598	0.364711	-0.239234	-0.240631	-0.0317134	15335
GSE84437	GSM2235885	Y3550T	MSI	0.19294	EMT	0.099329	0.0936107	medium	0.987297	0.099329	0.19294	-0.300233	-0.117747	15335
